V number,R core,R cladding, n core,n cladding,NA,LP01 eff,LP11 eff,LP21 eff,LP02 eff,dneff1,dneff2,dneff3,,,,,,,,,,,,,
4.11,5.35E-06,6.25E-05,1.4564,1.444,0.189644,1.4537,1.4498,1.445,1.4442,0.0039,0.0048,0.0008,,,,,,,,,,,,,
4.11,5.32E-06,6.25E-05,1.4565,1.444,0.190411,1.4538,1.4498,1.445,1.4443,0.004,0.0048,0.0007,,,,,,,,,,,,,
4.11,5.30E-06,6.25E-05,1.4566,1.444,0.191174,1.4539,1.449875,1.445,1.4443,0.004025,0.004875,0.0007,,,,,,,,,,,,,
4.11,5.28E-06,6.25E-05,1.4567,1.444,0.191935,1.454,1.4499,1.445,1.4443,0.0041,0.0049,0.0007,,,,,,,,,,,,,
4.11,5.26E-06,6.25E-05,1.4568,1.444,0.192692,1.454,1.449975,1.445025,1.4443,0.004025,0.00495,0.000725,,,,,,,,,,,,,
4.11,5.24E-06,6.25E-05,1.4569,1.444,0.193447,1.4541,1.45,1.44505,1.4443,0.0041,0.00495,0.00075,,,,,,,,,,,,,
4.11,5.22E-06,6.25E-05,1.457,1.444,0.194198,1.4542,1.45005,1.44505,1.4443,0.00415,0.005,0.00075,,,,,,,,,,,,,
4.11,5.20E-06,6.25E-05,1.4571,1.444,0.194947,1.4543,1.4501,1.44505,1.4443,0.0042,0.00505,0.00075,,,,,,,,,,,,,
4.11,5.18E-06,6.25E-05,1.4572,1.444,0.195693,1.45435,1.4501,1.4451,1.4443,0.00425,0.005,0.0008,,,,,,,,,,,,,
4.11,5.16E-06,6.25E-05,1.4573,1.444,0.196436,1.4544,1.4502,1.4451,1.4443,0.0042,0.0051,0.0008,,,,,,,,,,,,,
4.11,5.14E-06,6.25E-05,1.4574,1.444,0.197177,1.4545,1.4502,1.4451,1.4443,0.0043,0.0051,0.0008,,,,,,,,,,,,,
